id,title,url,login,display_type,college,department,major,description,link_selector
50,공과대학 산업·정보시스템공학과,https://iise.ssu.ac.kr/cummunity/notice/,0,dropdown,공과대학,산업·정보시스템공학과,,,table > tbody > tr > td.title > a
51,공과대학 건축학부,https://soar.ssu.ac.kr/news/notice/,0,dropdown,공과대학,건축학부,,,table > tbody > tr > td.title > a
52,IT대학 컴퓨터학부,https://cse.ssu.ac.kr/bbs/board.php?bo_table=notice,0,dropdown,IT대학,컴퓨터학부,,,table > tbody > tr > td.td_subject > div > a
53,IT대학 전자정보공학부 전자정보공학부,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php,0,dropdown,IT대학,전자정보공학부,전자정보공학부,,#board > div.list_box > a
54,IT대학 전자정보공학부 IT융합전공,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php,0,dropdown,IT대학,전자정보공학부,IT융합전공,,#board > div.list_box > a
55,IT대학 글로벌미디어학부,http://media.ssu.ac.kr/sub.php?code=XxH00AXY&category=1,0,dropdown,IT대학,글로벌미디어학부,,,#boardSkin_s_default tbody tr > td:nth-child(2) > a
56,IT대학 소프트웨어학부,https://sw.ssu.ac.kr/bbs/board.php?bo_table=notice,0,dropdown,IT대학,소프트웨어학부,,,tbody > tr > td.td_subject > div > a
57,IT대학 AI융합학부,https://aix.ssu.ac.kr/notice.html,0,dropdown,IT대학,AI융합학부,,,div.table-responsive > table.table td > a
58,IT대학 미디어경영학과,https://api.mediamba.ssu.ac.kr/v1/board/?page=0&size=15&menuId=89&content=,0,dropdown,IT대학,미디어경영학과,,,
59,IT대학 정보보호학과,https://sec.ssu.ac.kr/bbs/board.php?bo_table=notice,0,dropdown,IT대학,정보보호학과,,,table > tbody > tr > td.td_subject > div > a
60,베어드학부대학 자유전공학부,https://sls.ssu.ac.kr/%ed%95%99%eb%b6%80%ec%86%8c%ec%8b%9d/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,0,dropdown,베어드학부대학,자유전공학부,,,table > tbody > tr > td.title > a
61,융합특성화자유전공학부 융합특성화자유전공학부,http://ssuconvergence.co.kr/sub/sub03_01.php,0,dropdown,융합특성화자유전공학부,융합특성화자유전공학부,,,ul > li > div.txt > div.subject > a
62,차세대반도체학과 차세대반도체학과,https://www.disu.ac.kr/community/notice,0,dropdown,차세대반도체학과,차세대반도체학과,,,tbody > tr > td.title.noti-tit > a
